  n  p        c1        c2     c3    c4       c5      c6   c7
 70  5   2173.76   1614.40   0.28  0.00   925.26  824.52 19.0
 70 10   6336.38   4704.88   0.22  0.04  1584.54 1410.76  5.2
 70 15  15812.24   9536.66  24.12  0.18  1852.96 1590.34 11.9
 70 20  19019.84  14309.14   2.08  4.06  2177.22 2005.26  7.1
 70 25  32457.72  20199.04  33.20  0.14  2592.64 2149.72 18.1
 70 30  32067.36  21591.08   0.50  0.10  2335.52 2082.78  4.0

 80  5   4115.68   2787.94  17.38  0.14  1251.30 1098.20 14.1
 80 10  11372.56   6780.58  14.86  0.04  1903.24 1623.14  1.3
 80 15  19108.02  11399.24   0.36  0.00  2292.64 1943.30  0.8
 80 20  39983.62  21466.40  23.50  0.34  2880.24 2369.90 23.1
 80 25  57937.80  38194.18   2.58  0.36  3281.24 2534.72 13.1
 80 30  56392.76  45024.90   2.48 15.24  3182.84 3000.28  4.7

 90  5   5204.18   3042.52   0.56  0.00  1436.70 1226.82 11.6
 90 10  18414.40   9015.18   1.04  0.00  2364.08 1901.80  3.5
 90 15  45076.90  21474.64  19.16  0.12  3167.76 2452.88 17.0
 90 20  55830.74  29861.64   0.94  0.18  3482.40 2812.38 12.9
 90 25  96773.20  44125.78  40.16  0.14  4263.70 3109.56  0.9
 90 30 210834.68   4404.14 365.88  0.60  6117.14 3750.76 23.2

100  5   6671.16   4945.88   1.38  0.10  1683.70 1495.80  9.0
100 10  36198.62  18203.18  48.52  0.20  3201.30 2416.08 10.9
100 15  53255.30  26856.22   1.64  0.04  3546.68 2911.34  7.3
100 20 125703.80  44362.66   3.72  0.24  4959.40 3313.70 13.9
100 25 189431.78  78217.88 356.50  0.84  7652.92 4092.86  4.2
100 30 374531.18 173092.26 326.68  1.04 11306.32 5049.76 21.4
